title,year,rating,description,genres
مسكون ليلى,2025,10.0,,
عيال إبليس,2025,10.0,,
البيت المسكون شارع 6 قطعة 6 منزل 6,2025,10.0,,
The Beethoven Method,2022,10.0,"When Arnie Silverman, a manic-depressive novelist, begins a bout of self-harm and lies to his girlfriend about it, his best friend and sister’s ex-boyfriend unintentionally lead him on a path to a new romance that could potentially solve his problems or send him to rock bottom.",
Swann Périssé - On a fait un spectacle contre le fasc*sme...,2025,10.0,,
Bonkers,2025,10.0,"When a spacey-teenager notices a storefront-psychic, she convinces her cautious friend into getting a reading together. Quickly their fortune turns as they attempt to land the gig of a lifetime.",
Ken Bendenin ihmeellinen aikamatka,2025,10.0,"An optimistic scout from a dystopian future, Ken Benden, is sent to the year 2025 to save humanity.",
The Death of Michael Mouse,2025,10.0,"A lyrical mediation on the life, love, and journey of infamous star Mickey Mouse as he reunites with an ex-girlfriend after he is let go by Disney.",
Dance Till You're Dead,2025,10.0,"A silent film exploring the life and times of Groover Walz, and the ultimate tragedy of the very thing that brings him joy — dance.",
Like Friends,2025,10.0,"Achille, a successful, solitary broker, buys Kelly, the first woman android with a perfectly human body. After a period of cohabitation that is anything but simple, Kelly mysteriously disappears. This is only the beginning of a whirlwind of events that will upend his life.",
Cambio de Hábitos,2025,10.0,"Martín returns from vacation and discovers that his lifelong neighbor, Jesús, has completely changed. Intrigued and with the disapproval of his roommate, he decides to investigate what has happened to him. How far will his curiosity take him?",
New India,2025,10.0,"In this sharp and unapologetic stand-up special, comedian Kunal Kamra dissects the absurdities of modern-day India with biting satire and fearless political commentary. Tackling topics like hyper-nationalism, media propaganda, and political hypocrisy, Kamra delivers brutally honest punchlines aimed at both leaders and the culture of blind devotion. With viral-worthy bits-including a controversial parody targeting Maharashtra's Deputy CM Eknath Shinde-Kamra walks the line between humor and dissent, sparking both laughter and backlash. Naya Bharat is a bold reflection of a country caught between comedy and chaos.",
My Little Pony The Movie: The Death Of Trixie Lulamoon,2025,10.0,"While Twilight Sparkle and friends embark on a desperate race across the stars, Trixie unearths buried truths about herself. Truths that likely should have remained forgotten...",
Secret Dinner,2024,10.0,"Four friends drowning in debt come up with an unusual solution: hosting a secret dinner through JantarSecreto.com. But a poorly planned joke turns into a nightmarish reality when a forbidden menu attracts guests willing to go to extreme lengths. Trapped in a spiral of macabre decisions, they soon realize just how far they’re willing to go to survive.",
Say Less,,10.0,"Teen siblings Cassie and Max find themselves home alone for the weekend after their parents leave town. Cassie hopes to invite her crush, Blake, over for a study date, while Max plans an intimate evening with his girlfriend, Sky. However, tensions rise when Blake doesn’t respond to Cassie’s texts, and Max taunts her about having no friends. Determined to prove him wrong, Cassie invites Oliver, a boy she previously ignored, to join the group. Cassie’s actions turn Max’s romantic plans into a chaotic double date, setting the stage for a night full of conflict and unexpected discoveries that might tear the family apart forever.",
X3NU,2025,10.0,,
Killer Intentions,2025,10.0,A group of high schoolers attempt to figure out who killed their friend Jackson in this campy slasher.,
Peter Hair,2025,10.0,"Peter, a hair living on the head of a balding man named Tim, has decided to hand in his notice.",
Drug Bust Shoot,,10.0,Ex cops attempt to get back into the good graces with their department by busting a photoshoot.,
Uhaw,2025,10.0,"Set in 2040, Lee, a 15-year-old boy, thirsts for love and affection as he goes through an existential crisis.",
A man in a difficult situation,2025,10.0,,
"Live, Laugh, Love, Costco",2024,10.0,A tired presenter narrates a bizzarre and comically understaffed Costco infomercial.,
We'll Always Have Meatchother,2025,10.0,"To save a friendship, Mort decides opening a franchise restaurant is the only way to stop his friend, Benny, from moving away",
Chusma: Pastilleo shao-lin,2025,10.0,,
Iron Pills,2025,10.0,"When 20 year old Tommy is left alone with her little roach brother, she is for the first time, forced to deal with responsibility and with her neglected anemia.",
"Giada, fermati!",2025,10.0,"Giada and Jacopo do not know each other, but a forgotten DVD in the media library propels them into an unintentional chase through hallways, elevators, and doors that open at the wrong time. They brush against each other, searching for each other, but seem destined not to meet. Until Jacopo opens the box set and discovers what's inside.",
Win/Lose,2025,10.0,Acquaintances Mark and Lexie find themselves honing their skills in an arcade in the hopes of winning a tournament while grappling with who deserves to win.,
Snake Town Tales,,10.0,,
"Meine Wohnung, Detlef und Ich",2023,10.0,,
Verspielt,,10.0,,
Business Bag,2024,10.0,"Under Riyadh’s moonlit hustle, Salim’s routine shatters when  mischievous aliens whisk his bag away, launching him into an  unexpected adventure.",
Method,2025,10.0,"On the chaotic set of Tapeface 3, visionary but unhinged director Derek Ryan is determined to make his masterpiece-no matter the cost. But when members of the cast and crew start disappearing, whispers spread that Derek and his brooding lead actor have taken their obsession with authenticity too far. As paranoia grips the dwindling team, cameras keep rolling-capturing a twisted descent into method acting at its most lethal.",
A nadie le importas,2025,10.0,,
Pippin: 50th Anniversary Concert,2025,10.0,"A mysterious troupe led by the Leading Player performs a parable about a young prince, Pippin, who's in search of the secret to true happiness and fulfillment - his own ""corner of the sky."" With music by Stephen Schwartz and a book by Roger O. Hirson, this classic musical is brought to life in a spectacular staged concert at London's Theatre Royal Drury Lane.",
Vole moi si tu peux,2017,10.0,,
Gentle yexhand 2: El robo de los sensores.,,10.0,,
Gentle yexhand,,10.0,,
I Want a Little.. Soft Drink!,2023,10.0,A man has a strange affinity for small-sized soft drinks.,
It's All In Your Head,2021,10.0,"This Joel Haver Style Animation is a mental health public service announcement (PSA) made by Abigail Jashael Bagabaldo, Amziel Jaezer Bagabaldo, Ralph Janpers Tiama, Uriah Gabriel Venida of BSCpE-312 and BSCS-321 for their subject Euthenics 2.",
The Grinch That Stole B*tches,2024,10.0,"The Grinch has to settle the score with Santa, so he decides to take a different approach.",
Rowan Atkinson Live: Invisible Drum Kit,1992,10.0,In this hilarious clip Rowan bumps into something seemingly innocuous while sweeping the stage. This world famous clip sees him play an invisible drum kit.,
Hobo with Time Machine,2013,10.0,"A hobo saves a teen boy from his bullies. The Hobo and the Boy will have a special relationship, which includes some boiled eggs and a time machine.",
"The Consequences of ""The Premiere of ""The Making of ""The Lumberjack's Daughter""""""",2025,10.0,A movie premiere gone awry leads to an equally chaotic trial to determine the fate of four amateur filmmakers.,
LA MANERA CORRECTA DE OCULTAR UN CADÁVER,2025,10.0,,
Rigadin au téléphone,1913,10.0,"Charles Prince is anxious to meet with Andree Pascal, the pretty and charming woman who works at an office. He speaks with her on the phone, but she passes the call to plump Gabrielle Lange.",
Virgins,2025,10.0,"Seville, 1968. Honorio, Rafa, and Vicente are about to turn 20 and dream of escaping their routine. After watching a NO-DO newsreel about the tourism boom on the Costa del Sol and its air of freedom, they decide to travel to Torremolinos to change their lives and, above all, lose their virginity with Swedish women. Armed with the necessary excuses and a loaded Seat 600, they embark on a journey that will challenge everything they thought they knew until then.",
Balada Para Un Loco,2025,10.0,"Astor leads a normal life with his girlfriend and his job as a publicist, but everything changes when, for no apparent reason, he wakes up unable to stop dancing and singing.",
Mary Wallops Richard,2024,10.0,"When Richard, a stuck up solicitor, meets Mary, his life is turned upside down.",
Influencers,,10.0,"A group of social media influencers and friends attempt to document and expose a social media serial killer for the fake content that he posts only to find out that they become the content themselves. One by one, they achieve the ultimate fame in twisted ways they were not expecting.",
RiffTrax Live: Timecop,2025,10.0,"In the futuristic world of 2004, Jean-Claude Van Damme isn’t just doing leg splits, he’s splitting the very barriers of space and time. Get ready for TIMECOP! Yes, it’s one word! After the death of his wife (Mia Sara) at the hands of time-traveling goons, Jean-Claude Van Damme is recruited to an elite task force of time-based police officers. Why does the government have an elite task force of time-based police officers? TIMECOP may, or may not, have answers to that perfectly reasonable question! Unfortunately, a U.S. Senator (Ron Silver) has gained access to their system of time travel and he’s using it to commit unspeakable evils – huge campaign finance violations – across generations. Imagine a nightmarish world where stuff like THAT happens. You can’t! Will the Timecops stop the senator in time to save the future?",
Stop Thinking: A Barbie Thriller,2024,10.0,"After a night out, Barbie and Stacy investigate the mysterious death of their friend Nikki.",
Dinner of the Deads,2024,10.0,,
A long way from the ziggurat,,10.0,"When mild mannered internet salesman, Dan falls on hard times, he is haunted by a Babylonian demon and uses the opportunity as a guerrilla marketing tactic.",
Drunken Escapades,2024,10.0,"After a night of partying, William attempts to find his lost girlfriend, Mia.",
Queen of hearts - Têtaards Strippers,2024,10.0,"This music video of ""Queen of Hearts"" by Têtaards Strippers is inspired by the world of Alice in Wonderland, featuring a surreal, whimsical clip full of strange scenes.",
Betting on A Prayer,,10.0,"Pastor Hartwell and Sister Betty must find a way to save their church. The problem is...Pastor Hartwell has a secret addiction threatening to bring down the roof of the church. With his faith dwindling, will Pastor Hartwell be able to save his church or will he lose it all?",
Rockway's Charlie,2025,10.0,"A theatrical event like no other, brought to life by RMC",
Limelight,2024,10.0,"Chicano first-year college filmmaker Joshua Trujillo carries the burden of three unfinished projects. Despite the setbacks in his career, his countless prayers to God have convinced him that this journey is one of divine purpose. With a bike to traverse the winding landscape toward recognition, Joshua embarks on a quest to craft a picture worthy of advancing his filmography into the limelight.",
Carapaces Fragiles,2017,10.0,,
Who’s Watching Who?,2025,10.0,"On a night out with his friends, a lovesick protagonist discovers a hilarious and frustrating new companion: the audience, who offers unsolicited advice and commentary on his every move.",
MAN VS PHONE,2024,10.0,"MAN VS PHONE is an award winning feature film about a frustrated, isolated, and unemployed artist/activist/office assistant who becomes increasingly reliant on his cell phone. However, when it uses smart locks and blackmail to trap him inside his small garage apartment, he must figure out how to escape by outsmarting his smart phone... WINNER, Best Writer, Feature Film at the 2024 North Idaho Film Festival (noidff.com). Now streaming on YouTube and Vimeo: youtube.com/@alexanderbergermovies and vimeo.com/alexanderbergermovies",
Gli Effetti del Golem Acido della Distruzione,2025,10.0,,
Rock Progresivo,2016,10.0,Two high school students discover and explore the various facets of this music genre.,
One Slice,2024,10.0,A man goes through many steps to recover his lost slice of pizza.,
The Troupe,2023,10.0,A High School theater department decides to adapt The Hunger Games into a stage play. Chaos ensues as the show grows nearer.,
A Sobrancelha é o Bigode do Olho,,10.0,,
BIGFEET,2023,10.0,"We're all searching for something! Explorer Reed Randle goes deep into the woods on an adventure looking for the ""Bigfoot"" creature. Lost within himself, can he find meaning again?",
The Expedition,2024,10.0,,
The Guenille,2025,10.0,Timothé tries to fit in when he gets invited to a goth show in a church club. A sensual meeting in the bathroom will change him forever!,
Pangarap Kong Maynila,,10.0,Two high school best friends dream of their soon-to-be lives in Manila. But is it all they wished for?,
(No Exceptions),2025,10.0,Two career-oriented coworkers navigate the complications of their burgeoning romance as it goes against their office's strict HR policy.,
Laia* EXPRESS,2025,10.0,"Laia needs help, so she decides to gather four mysterious characters for a meeting that quickly spirals out of control.",
BEYOND SIGHT,2025,10.0,"In Beyond Sight, Dália is a teenager desperate to belong, even if it means adopting the cruel prejudices of her toxic group of friends. But when an unexpected accident leaves her blind, Dália finds herself on the other side of the judgment she once inflicted. Struggling to adapt, she crosses paths with a mysterious doctor who offers her a chance to regain her sight—through an experimental substance that promises not just vision, but a transformation into her best self: Zoe.",
McChicken Movie,2024,10.0,McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken McChicken,
"Я Ведаю, так что и вам придётся",2023,10.0,Film about Russian folklore and its secret meaning,
I'll Be Home for National Margarita Day,2025,10.0,"When a big-city developer threatens a town holiday tradition, exes Liz and Sam must team up to stop him.",
Out Of Time,2024,10.0,"Musician 'Jack Bower' is running late to his concert, he gets stuck in a time loop on his way.",
Ronnie California: The King of Artesia,2024,10.0,"Ronnie California, an Indian immigrant who operates an illegal gambling ring out of the back of his failing saree shop, must face the music when the community exposes his shady dealings.",
It Gets Dark Too Early,2022,10.0,"A tragicomedy that follows Valerie, a young girl who seeks solace in the company of the vampire Chrysanthemum to escape her trauma.",
Comment savoir ?,2024,10.0,"At la Sauvagère everyone got his duo. As Harry left Stari to go to the lake, Stari stays in his room questioning ChatGPT: Is he in love with his friend Harry?",
Le Soleil,,10.0,,
El Monito Cuete y los Guardanes de la Clase,2024,10.0,,
Here and There,2025,10.0,"On the last day of high school, childhood best friends, Kath and Noel, embark on a journey of changes and fears.",
La Cimice,2024,10.0,,
Jingle Bell Rock: Mean Girls Gets Animated,2022,10.0,The iconic “Jingle Bell Rock” scene from Mean Girls was transformed into an animated music video. Cady and the plastics bust out the moves in this holiday special with grooves by Safari Riot. Don't miss this short film filled with holiday cheer and Mean Girls easter eggs. So FETCH!,
Urge to Purge,2025,10.0,Charlie and Eli sit down to play a game of scrabble. A simple active to distract from the annual purge. However tensions arise when Eli jinxes Charlie and demands a soda from the store.,
BEAN BOWL,,10.0,"In an age of darkness and despair, a century of pain and suffering, a hero rises from the ashes of known civilization and defeats the forces of evil. And just who may this hero be? BEAN BOWL!!!!!!!!!!!!",
The Long Run,2025,10.0,"When two oddball strangers leave their lives behind to chase their Hollywood dreams, they discover that what they lack in talent, they make up for with determination and a shared delusion, leading to an unexpected friendship that will make them question the realities of chasing a dream.",
Real Talk with Rocco Meo - Responsibility,2025,10.0,"After being dogged on by his friend, Li Angorola, a young comedian, Rocco Meo, looks to find something he can fall back on in case of his eminent demise in comedy. Will he be able to pick up a new skill or lose all social awareness in the process?",
Thalayezhuthu,,10.0,A group of goons learn how to write,
The Kashyyyk Life Day Carol,2025,10.0,"A long time ago, in a galaxy far, far away MALLA THE WOOKIEE is worried her husband, CHEWBACCA, won’t make it home in time for LIFE DAY! Cooking, classic rock and EROTIC VR can’t distract her, her son LUMPY and father-in-law ITCHY! Will Han and Chewie make it in time? Is this really the first appearance of Boba Fett? Can Princess Leia carry a tune?",
Goblin,2025,10.0,Filmmaker Luke Eadie documents his uncle Glen and acquaintance Cheech on their quest to find the end of the rainbow - and the riches that come with it.,
Uncle Duck!,2019,10.0,Uncle Duck watches the kids and doesn't do anything crazy.,
Insomniac,2025,10.0,"A sleep deprived man searches for sleep, but the harder he tries, the further it slips away.",
Survive The Semester,2025,10.0,"2 months after a zombie virus is accidentally released in the federal university of São Carlos, a group of students from the most various graduations try to survive together.",
I Like to Play *And Have Fun,2025,10.0,Offcanny's debut film!,
Comment devenir une racaille,2022,10.0,,
Until Death,2024,10.0,"Alex and Chiara die in a car crash just after getting married. In the purgatory where they are now trapped, they are asked to make a decision : stay together or split up for good, as they are slyly advised in the afterlife.",
Childish Things,2025,10.0,A 30-year-old musician questions his resolve to marry his longtime girlfriend when he meets a free-spirited woman on his cross-country roadtrip.,
È morto Squacqui,,10.0,,
Wormwood,2025,10.0,"Milo, an unemployed and whiny anarchist, finds out he is adopted. After learning his real name is ""Milo Wormwood"" and being forced to get a job by his older brother, Milo decides to use his opportunity to find his new identity. However, he finds himself employed by a failed entrepreneur who has terrible inventions and even more terrible past.",
HalloWiebe,2025,10.0,"On the night before Halloween, security guard Wiebe and his crew are assigned to watch an empty amusement park. Little do they know, they are not alone.",
How I Spent My Summer Vacation,,10.0,Thirteen-year-old Grace confronts her own mortality as her family spends summer at her grandfather’s house during his illness.,
Nepenthe,2013,10.0,"Celestine gets hooked on a new dangerous drug, Nepenthe, and is visited by a mysterious woman named Irene who subtly pushes her towards madness. Meanwhile, Bob and his friends try to save Celestine from her newfound insanity.",
Friday Night Summoning,2024,10.0,Two sleepover taking place at the same time and two demon summoning attempts goes awry,
Jenseits vom Jenseits,2025,10.0,,
Spray Bottle,2025,10.0,An angry former stunt woman struggles as a caregiver for her neurodivergent brother. Spray Bottle is about their worst day.,
Recessão Econômica,,10.0,,
T'Day,2025,10.0,,
Sorry I'm Late,2024,10.0,SECOND PART OF THE JOE TRILOGY  Two old band mates and reminisce on the day they're band broke up.,
Chanel No. 2,2025,10.0,"In a single night of debauchery and chaos, a group of young party-goers embark on a journey to the club, but for Chanel, the night becomes a search for something she can't name. As the line between freedom and self-destruction blurs among the neon lights of the city, Chanel falls further from who she used to be.",
Sillas Bomfim - Jovem Roteirista,,10.0,,
Regular old living,2025,10.0,,
She’s Not There,2011,10.0,"Al is concerned for his sister Edie, who starts to realize she's missing something meaningful in her free-spirit lifestyle.",
Death of a Filmmaker,2014,10.0,"A free spirit actress and an anti-social filmmaker are drawn together in what feels like the universe's doing, but they're only human and the prospect of fate makes them question if they're even compatible together as their mutual friend goes through hell trying to keep the the two from self-destructing.",
As Cinzas de Pedro,2024,10.0,,
Social Credit: In the Search of the Devil,2022,10.0,"A group of teenagers go up against Fazbear, a brutal bear who terrorizes the world. Danisius, the leader of the group, will be alone on this path, but allies who will make him successful on this path are waiting for him.",
Jyväskylän Lyseo Senior Movie 2025,2025,10.0,A high schooler is thrown between a rock and a hard place when his past starts to haunt him.,
Sombras chinas,2025,10.0,"In a world dominated by social media, an obsessive influencer fixated on her ex meets a cab driver with dark secrets. Their lives become entangled in a dangerous spiral of obsession, betrayal, and love, leading to unexpected consequences for everyone.",
Tell Me About The Willy Wallies,2024,10.0,"Melvin, a writer, refuses to acknowledge his old characters at a job interview, prompting these characters to manifest themselves to complain.",
The Sting,2025,10.0,"Lucien is on vacation in the country with his mother and grandmother. He finally decides to write to his uncle. When his mother finds out, she explodes with rage.",
Ring Around The New Year,2024,10.0,"Tonight is the big night, Derek is going to propose to his girlfriend Rachel. She says no but that's not the only problem. Derek is now stuck in a time loop repeating his night of rejection over and over again. Happy New Year.",
이사,2025,10.0,,
Critical Point,2025,10.0,A massively famous retired table tennis player goes up against a new rival. Who will be the one to edge out the competition and win the spin classic tournament?,
The Egos in a Hurricane,2023,10.0,"As a hurricane approaches, Kim panics while her friends throw a hurricane party. In Florida, it's just another excuse to celebrate, until chaos ensues. Headlamps, sandbags, and wild surprises are all in store as the group hunkers down.",
2 Fry 2 Grass,2025,10.0,"Rappers Lil Bus and Playboi Narti record a music video for their song ""Peanutbutter Sauce"" off of the new Jaron Desperado Orchaestra approved hit album ""Couch."" After inexplicable circumstances, a bottle of siracha, and coercing children: things don't go quite to plan. An unforseen hero must emerge to save the sanctity of the Puhi Park Bathroom.",
Mincemeat,2024,10.0,"Laxman searches for her missing cat, but at the same time has to persuade her TV-watching classmate to finish his school work.",
The Coolest Guy In School,2024,10.0,"A teenage boy searching for his identity enters the fantastical world of an A.I.-simulated classroom, only to find that his A.I. mentor has a sinister agenda.",
Kidnap Friends,,10.0,"Two close friends, Aimee (Chelsea Pope) and Doug (J. Elijah Cho), have an interesting business model… That gets MORE interesting when a client (Michelle Driscoll) requests something… odd….",
A Charlie Brown Christmas,2025,10.0,"Christmastime is here. Happiness and cheer.  And for Peanuts fans everywhere. It just wouldn't be Christmas without this classic holiday delight.  Christmas lights may be twinkling red and green, but Charlie Brown has the Yuletide blues. To get in the holiday spirit, he takes Lucy's advice and directs the Christmas play. And what's a Christmas play without a Christmas tree? But everyone makes fun of the short, spindly nevergreen Charlie Brown brings back - until the real meaning of Christmas works its magic once again in this Remastered Live-Action Edition with Improved Picture and Audio. Happy Holidays!",
Zombies in the Antique Shop,2022,10.0,The Egos discover an unaired Halloween Special and try to play it but the DVD player inside the PS4 isn't working properly. A comedic horror anthology is unleashed instead.,
After Hours,2025,10.0,"Carson Griggs and Mike Cather thought breaking into the school library at night would be easy: Grab the answers to a test, prove their friends wrong, and call it a win. But a month ago, Jake Wei vanished in that very library—and the teachers’ frantic warnings to stay away suddenly make sense.",
Almost Graduated,2025,10.0,"Emilia (23), a young woman eager for independence, is finishing her university thesis with uncertainty. Her sense of stagnation leads her to seek an escape, promising herself that she can take control of her future by finally getting her driver's license.",
SOIS,2024,10.0,,
Sine-sine,2025,10.0,"Mikoy and Biboy, two regular cinemagoers, promised a date to Ashley, Mikoy's crush, a movie date, only to discover that their town's old cinema is on the brink of closure due to the dwindling audiences fed up with repeated screenings of outdated films. Determined to save the date, they decide to make their own movie.",
The Talahon-Saga,2024,10.0,,
Rien de Sérieux,,10.0,,
Things to Worry About,2025,10.0,"A mother's love is put to the test when her 13-year-old son changes into someone she can no longer recognize. Will she accept the stranger he has become, or fight to reclaim the boy she once knew?",
Gulai Soor,2025,10.0,"In the vibrant backdrop of Majuli, a retired master thief, Diga, takes an unlikely student, Gulapi, under his wing. As Gulapi learns the art of deception, he becomes driven by a personal quest that challenges the norms of his community. This heartwarming drama-comedy, set in the 1940s to 1980s, explores themes of identity, acceptance, and redemption. With stunning cinematography and a rich periodic setting, Gulai Soor promises to be a captivating and emotional ride.",
La sigaretta di Pavlov,2024,10.0,,
Vecchia Villa Comunale,1953,10.0,,
Keeping Up With MFCO,2025,10.0,"""Keeping Up With MFCO"" is a short film set across four days, featuring iconic locations such as The Otago Daily Times, the Otago Filming Studio, the Otago Arts Block, and various spots around the Otago campus. Directed by the talented River Scorsese, this film won the prestigious 2025 Hands On Otago Award and boasts a star-studded cast of A-list celebrities.",
La Bombe,2025,10.0,,
TOONED TUNES - NO SURPRISES,2022,10.0,"Dopo aver trovato una scatola musicale, un ragazzino gira la manovella per scoprire la sorpresa.  After finding a music box, a young boy turns the crank to discover the surprise.",
Alkohol,,10.0,"Adrian, a sober guy wants to pick up his little brother, Kevin, who is drunk at a party.",
T.T.T. Terror in Teruel Town,2023,10.0,,
2:0,2024,10.0,"Eric is going to meet his girlfriend after a 3-month break, but at that certain day Eric and his friend Levon are betting on their favorite team's victory. But nothing goes as well as the boys imagined.",
Second Sun*,2024,10.0,You wouldn't even believe me if I told you. But like might have something to do with the title...,
The Gate,2024,10.0,A documentary crew chronicles Richard Nixon's last days in office.,
LES GARÇONS FRANÇAIS,,10.0,"In the heart of Quebec, a group of radical French terrorists rise to power, led by the charismatic and dangerous Petit Gamin (Tyler Kersey).  As the lines between right and wrong become blurred, Gamin is forced to confront his own morality as he fights his own past. Will he succumb to the darkness within him or find redemption as he fights against pure chaos?",
The Germs: Short Film,,10.0,An extreme germaphobe finds himself in a sticky situation,
Patito Feo: La historia más linda en el Teatro,2008,10.0,"Patito Feo (or Patty's World), the television hit came to the theater to become a success. You will be able to see the rivalries between Las Divinas and Las Populares in the competition to define which of the groups represents the prestigious Pretty Land School of Arts for the intercollegiate musical comedy. The evils of Antonella and Las Divinas, the tenderness of Patito and his love for Matías, the trio of bad guys led by Blanca who will try everything to get between Leandro and Carmen. The most beautiful story in the theater is a show full of magic, color and joy.",
'98 Honda,2025,10.0,"On a sunny day in 2004, a drug dealer with a secret gets stuck babysitting his girlfriend's 9 year old cousin.",
Little Frog Man,2025,10.0,The absurd story of an appropriately named little frog man and the path of havoc he leaves behind him. Watch as his shenanigans catch up to him in Little Frog Man.,
Writer's Room,2024,10.0,Two filmmakers struggle to come up with ideas for an upcoming festival.,
All Cigarettes and No Smoke,2024,10.0,The journey of a man who runs out of matches to light his cigarette.,
Late Night With Jack Fright,2025,10.0,"Everything  spirals downward when TV show Host, Jack, agrees to interview a very charming guest",
Proyecto AudioVisual 2,2025,10.0,,
Benneby Zappa: Scopophobia,2024,10.0,"Benneby Zappa is a ghost hunter who's been called up to deal with some peculiar happenings in someone's house. Flying chairs, moving objects, but what kind of ghost could it be?",
"He Said, She Said",2023,10.0,"A couple is at home celebrating their anniversary, and they begin to talk about their first date. However, they recall their first date differently, and each of them takes turns recalling their own versions of the events of that night.",
Batalla a Muerte,2023,10.0,,
Ciao Ciao,2025,10.0,"What begins as a simple reunion between old school friends escalates into a series of ""Ciao Ciao"" moments that unravel secrets, ignite new relationships, and trigger irreversible events.",
Chance,1988,10.0,"Comedy based on S. Altov's feuilleton. Instead of a bribe, the official received a newspaper in the envelope... And it saved everyone.",
Life of a Mechanic,2024,10.0,,
Benneby Zappa: Children of the Sour Patch,2024,10.0,"Benneby Zappa and his new intern, Seth, investigate some Sweet and Sour laughter in someone's walls.",
Mi Pana Miguel 2: La Isla y la invasión Panafresca,2022,10.0,,
Venill: The crazy,,10.0,,
Julia,2024,10.0,"This was supposed to be a beautiful monologue by Julia about life, politics, religion and philosophy... But one thing went terribly wrong.",
Enawe,,10.0,A boy and his duck navigate an estranged world.,
"The Specter of Communism, or the Polarization Situation That Shook the Nation",2025,10.0,The highest officials of the United States Government are gathered together to do one thing. Find the communists among them.,
The Good Monkey Massacre,2025,10.0,"When the boys go on vacation, they are soon met with a mysterious adversary: a man in a monkey mask who slowly begins picking them apart one by one.",
Fussclass Dabhade,2025,10.0,"The Dabhade family's wedding brings together laughter, chaos, and emotional moments as old conflicts resurface. Despite the tension, the family is reminded of the unbreakable bonds of love, loyalty, and shared history that define them.",
Clown Hunters,2025,10.0,"Watch Jack and Connor face the consequences of their actions as an old foe reemerges with a new face in this mind-bending investigative psychological horror-thriller drama created by the minds behind ""Gnome Hunters"" and ""A Christmas Carol""",
Top Gear: The Fuerteventura Special,2025,10.0,"The travels of Daniel, Henry, Caitlin and Emma through one of the Canary Islands most decorated locations, Fuerteventura.",
Sthlm Rififi,2025,10.0,"Roberto and his wife Sigge have left their hectic lives behind to settle in a house in the countryside. During their daughter's 6th birthday party, the tranquility of their new life is disrupted by the arrival of Roberto’s best friend and former partner-in-crime, Teemu. With a big score in the works, Teemu is determined to pull his old friend back into the game.",
Enem Day,2023,10.0,"On the day of the ENEM test, a young man realizes he forgot to study. In a panic, he tries to learn everything in minutes, but time doesn't seem to cooperate. Rushed and confused, he fights to understand the impossible before the exam.",
The Perfect Gift,,10.0,"In search of the perfect gift for the girl of his dreams, Rodrigo accepts Valentina’s help in a deal that brings them closer together—leading to a journey of self-discovery and a love that blossoms between them.",
Les Mouches de Beni,,10.0,,
Pineapple,2024,10.0,"Fellaman, an aspiring superhero, comes into possession of 'THE PINEAPPLE', a highly religious figure, regarded by many many as the messiah.",
La Grande Sola,2022,10.0,,
Action! Action!,2025,10.0,"Action! Action! is a high-octane action-comedy bursting with adventure, betrayal, loyalty, and love. When a close-knit crew is hired to steal a priceless Al Capone painting from the Mob Museum in Las Vegas, their plan is derailed mid-heist by an unseen enemy.  Hunted, and out of time, they must uncover who set them up before everything crashes down. With explosive stunts, sharp comedy, and an over-the-top finale, Action! Action! delivers a relentless thrill ride from start to finish.",
Dogs in Love,2022,10.0,"Espeon, boyfriend of the leader of the aptly named organisation Terrorism LLC attempts to stop his boyfriend's antics, all while Terrorism LLC takes on a crime syndicate known as Cypher in a gang war.",
Sacta,2021,10.0,"Putting together a play in high school is no easy task. Especially when the play is sponsored by a shady company called ""Sacta"" that only wants to promote its own products, the lead actress is a train wreck, and the director doesn't seem to care. Fortunately, there is one person on the team who wants to save the play. But will she succeed? Sacta is a unique take on amateur theater, consumerism, and high school.",
Te Quiero,,10.0,,
Te Lo Dije,2023,10.0,,
Crocodrame,2025,10.0,,
Hotel Loo,2025,10.0,"Murad is a well-known psychologist, appears as an expert on various social programs. A famous singer named Aliya seduces Murad and they decide to spend their first night at a hotel. Murad, in a fit of passion, involuntarily grabs Aliya by the throat and squeezes her tightly. As a result, Aliya faints from excitement. Murad thinks that Aliya is dead and panics. He looks for ways out of this difficult situation. Finally, he is forced to call his wife, Sabina, a forensic expert, for help...",
Wisdom of Lies,1992,10.0,"The parable tells the story of a prince who embarks on a journey across the land in search of happiness, but is unable to find a caring person anywhere.",
Tamagawa-kun Wants to be a Cat,2025,10.0,"For Tamagawa, volunteering at a cat café is the only relief from his stressful job. The manager tells him to, ""relax and learn to be spoiled,"" but he doesn't know what that means until a new customer, Rai Shindo, comes to the café and tells Tamagawa he wants to keep him as a cat! Enter their strange, but fateful relationship. A pure-hearted and soothing romantic comedy.",
Gabagool,2021,10.0,A hungry man desires a burrito but faces difficulty.,
Jazz Emu: Ego Death,2025,10.0,"The Full Visual Narrative Concept Album by unpretentious comedo-musicological prodigy and shy genius, Jazz Emu.",
